,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
0,봄동떡방,음식,떡류 제조업,동구,부산광역시 동구 중앙대로361번길 40,129.046162070694,35.1291810952931
1,새마을상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동구,부산광역시 동구 영초길 179-1,129.035602471422,35.1166882467397
2,선진축산정육시장통,소매,육류 소매업,사하구,부산광역시 사하구 승학로 64,128.9751572908,35.1048493239028
3,쵸리네,소매,"신선, 냉동 및 기타 수산물 소매업",수영구,부산광역시 수영구 광안해변로312번길 60,129.127886619068,35.1542367953902
4,픽미픽미아이스,음식,"빵류, 과자류 및 당류 소매업",사상구,부산광역시 사상구 가야대로330번길 90,129.009205740299,35.1467562737417
5,본힐링하우스,소매,건강 보조식품 소매업,수영구,부산광역시 수영구 광안해변로277번길 11,129.124065042122,35.1564716932005
6,애가타지,소매,"빵류, 과자류 및 당류 소매업",영도구,부산광역시 영도구 영선대로 79,129.041941209199,35.088077511778
7,메가탑농수산,소매,"채소, 과실 및 뿌리작물 소매업",강서구,부산광역시 강서구 명지국제1로 56-3,128.906685582678,35.0935812211956
8,더마트,소매,슈퍼마켓,동래구,부산광역시 동래구 아시아드대로255번길 19,129.067758758572,35.206728617326
9,이롬황성주생식국제신도시1지점,소매,건강 보조식품 소매업,강서구,부산광역시 강서구 명지국제8로 265,128.921839838523,35.0982174084622
10,띵땅상사,소매,기타 식료품 소매업,남구,부산광역시 남구 용소로40번길 22-1,129.099813556224,35.1339702310212
11,토끼와거북이,소매,조리 반찬류 소매업,사하구,부산광역시 사하구 낙동대로535번길 28,128.962994308505,35.1114997870911
12,태양수산,소매,"신선, 냉동 및 기타 수산물 소매업",수영구,부산광역시 수영구 과정로55번길 7,129.106869932336,35.1761810757676
13,진주식품,소매,조리 반찬류 소매업,수영구,부산광역시 수영구 과정로55번길 8,129.106850177611,35.176343505547
14,남북유통,소매,기타 음ㆍ식료품 위주 종합 소매업,부산진구,부산광역시 부산진구 당감로10번길 7,129.040203603108,35.1627643062008
15,가나유통,소매,기타 식료품 소매업,수영구,부산광역시 수영구 망미번영로55번길 112,129.108297815346,35.1770423619607
16,종근당건강헬스벨스토리부산남항점,소매,건강 보조식품 소매업,영도구,부산광역시 영도구 남항로 22-1,129.038940038261,35.0892300181415
17,청명상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 새벽시장로56번길 37,128.979403629514,35.1535359800463
18,봉아이스크림할인점좌동뜨란채점,소매,"빵류, 과자류 및 당류 소매업",해운대구,부산광역시 해운대구 대천로67번길 12,129.169034758418,35.1735509118265
19,당리정육점,소매,육류 소매업,사하구,부산광역시 사하구 제석로 62,128.975005976491,35.1059592725762
20,메종송송,소매,기타 식료품 소매업,연제구,부산광역시 연제구 아시아드대로22번길 13,129.070131081425,35.1874811214437
21,와마트덕포점,소매,슈퍼마켓,사상구,부산광역시 사상구 사상로 331,128.983803033055,35.1743586999452
22,와미부,소매,슈퍼마켓,해운대구,부산광역시 해운대구 달맞이길62번길 38,129.171212412397,35.1585219079261
23,아리랑,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 구포시장3길 5,129.003596014843,35.2082419304508
24,오레시피사상점,소매,조리 반찬류 소매업,사상구,부산광역시 사상구 사상로 232-5,128.983359757802,35.1658080353611
25,금정담뱃집,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 공해1길 2,129.05623720314,35.2439486146311
26,아삭김치,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 망미배산로10번길 45,129.106691614938,35.1759844004967
27,김천상회,소매,"채소, 과실 및 뿌리작물 소매업",동래구,부산광역시 동래구 동래시장길 14,129.085961867513,35.203826518793
28,하신수산,소매,"신선, 냉동 및 기타 수산물 소매업",중구,부산광역시 중구 자갈치해안로 52,129.030600002535,35.0966476355156
29,심봉사눈뜬오뎅,소매,기타 식료품 소매업,북구,부산광역시 북구 구포시장길 21,129.003433620083,35.2084325683472
30,금양인터내셔날롯데,소매,음료 소매업,부산진구,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
31,크림현대가락타운점,소매,기타 음ㆍ식료품 위주 종합 소매업,사하구,부산광역시 사하구 하신번영로 314,128.959103648267,35.1089976732861
32,서원유통,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 사상로250번길 36,128.984415069304,35.1668450862757
33,노란호랭이,소매,"채소, 과실 및 뿌리작물 소매업",부산진구,부산광역시 부산진구 안창로 4,129.047939925461,35.1446246837724
34,낙민동아이스크림할인점,소매,"빵류, 과자류 및 당류 소매업",동래구,부산광역시 동래구 안남로 23,129.094844082576,35.1946605937635
35,도레미마트,소매,슈퍼마켓,북구,부산광역시 북구 덕천로370번길 15,129.043943516853,35.2088832876926
36,어부상회,소매,건어물 및 젓갈류 소매업,부산진구,부산광역시 부산진구 당감로16번길 27,129.041156784036,35.1634862466316
37,나비수산,소매,건어물 및 젓갈류 소매업,기장군,부산광역시 기장군 기장읍 기장해안로 597,129.229681839015,35.2249413152276
38,통영물산,소매,건어물 및 젓갈류 소매업,강서구,부산광역시 강서구 공항로1309번길 80-12,128.984701874875,35.2161039616829
39,초원식육점,소매,육류 소매업,동래구,부산광역시 동래구 여고북로 144,129.072962475227,35.2015717675835
40,장산떡집,음식,떡류 제조업,해운대구,부산광역시 해운대구 반여로185번길 73-5,129.124449514891,35.2083066069013
41,김여사반찬에반하다,소매,조리 반찬류 소매업,해운대구,부산광역시 해운대구 양운로 53,129.176440471374,35.167917707043
42,대청미니,소매,기타 음ㆍ식료품 위주 종합 소매업,중구,부산광역시 중구 대청북길17번길 22,129.029798735592,35.1061912904457
43,세븐일레븐부산동구동양점,소매,기타 음ㆍ식료품 위주 종합 소매업,동구,부산광역시 동구 증산로 150,129.053258040909,35.1391792176836
44,화명장터,소매,"채소, 과실 및 뿌리작물 소매업",북구,부산광역시 북구 금곡대로285번길 22,129.012341929739,35.2341921805954
45,튀항,소매,"채소, 과실 및 뿌리작물 소매업",사상구,부산광역시 사상구 사상로310번길 45,128.986017215599,35.1722584694324
46,픽미픽미,소매,"빵류, 과자류 및 당류 소매업",사하구,부산광역시 사하구 괴정로 272,128.990996651675,35.0967254040856
47,땅스부대찌개,음식,기타 식료품 소매업,북구,부산광역시 북구 금곡대로 240,129.013452536459,35.2298562345305
48,유림떡방앗간,음식,떡류 제조업,북구,부산광역시 북구 백양대로1124번길 111,129.00452760766,35.2000585908619
49,상주농산,소매,"채소, 과실 및 뿌리작물 소매업",부산진구,부산광역시 부산진구 거제대로 37,129.066541546256,35.1707379472895
50,동양마트두구점,소매,슈퍼마켓,기장군,부산광역시 기장군 철마면 여락송정로 331,129.112799969821,35.3049963035802
51,파비스애니원기장점,소매,건강 보조식품 소매업,기장군,부산광역시 기장군 기장읍 차성동로87번길 28,129.215063823321,35.2457391938991
52,필휴계실,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 학감대로 248,128.99177887216,35.1531288375847
53,원조생오리,소매,육류 소매업,부산진구,부산광역시 부산진구 중앙대로775번길 15,129.061487893163,35.1619847636859
54,비에이치아이시,소매,기타 식료품 소매업,영도구,부산광역시 영도구 남항서로82번길 73,129.039400550648,35.0866300271528
55,농부와어부식품관,소매,슈퍼마켓,연제구,부산광역시 연제구 월드컵대로 25,129.085459208631,35.1767714508714
56,우제아이엠,소매,건강 보조식품 소매업,부산진구,부산광역시 부산진구 서면로 74,129.058166292831,35.1572274300434
57,하얀고래수산,소매,건어물 및 젓갈류 소매업,기장군,부산광역시 기장군 장안읍 해맞이로 229,129.26434162056,35.3199294465808
58,롯데후레쉬마켓,소매,슈퍼마켓,남구,부산광역시 남구 진남로 135,129.080137518492,35.1387893741272
59,거제수산,소매,"신선, 냉동 및 기타 수산물 소매업",사상구,부산광역시 사상구 백양대로 935,128.991313493792,35.189846535475
60,경남야채,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 광안해변로15번길 77,129.109068212561,35.1391770499134
61,대림상회,소매,"채소, 과실 및 뿌리작물 소매업",부산진구,부산광역시 부산진구 중앙대로 765,129.060989888398,35.1608263310886
62,옛기와,소매,육류 소매업,기장군,부산광역시 기장군 기장읍 동부산관광9로 15,129.217513627675,35.1905509252007
63,신진주활어,소매,"신선, 냉동 및 기타 수산물 소매업",사하구,부산광역시 사하구 다대동로 20,128.97200107451,35.0551618076156
64,옥이네찬방,소매,조리 반찬류 소매업,부산진구,부산광역시 부산진구 엄광로 264,129.03897008622,35.1538060195319
65,뻔뻔한점핑밸런스다이어트,소매,건강 보조식품 소매업,사상구,부산광역시 사상구 낙동대로 734-1,128.96915390697,35.1267926365805
66,태양마트,소매,기타 음ㆍ식료품 위주 종합 소매업,해운대구,부산광역시 해운대구 재반로255번길 27,129.129970959545,35.2001788527866
67,소담정육마트,소매,육류 소매업,부산진구,부산광역시 부산진구 복지로13번길 62,129.023779193011,35.1519702880969
68,삼성건강기능식품,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 여고북로 160,129.073812119518,35.2018797204017
69,신앙촌상회,소매,기타 식료품 소매업,연제구,부산광역시 연제구 과정로348번길 8,129.090668961978,35.1911918854624
70,신화,소매,조리 반찬류 소매업,기장군,부산광역시 기장군 정관읍 모전1길 9,129.16455901896,35.337408510258
71,떡일품,음식,떡류 제조업,중구,부산광역시 중구 중구로39번길 41,129.025624287472,35.1013140300599
72,씨유망미중앙,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 망미배산로18번길 21,129.106110197085,35.1752055065084
73,영식품,소매,건강 보조식품 소매업,사하구,부산광역시 사하구 승학로 215,128.988921802767,35.1011051572477
74,한국마트,소매,슈퍼마켓,동구,부산광역시 동구 망양로 897,129.049506983881,35.1401762557858
75,해변슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,영도구,부산광역시 영도구 중리남로 2-35,129.066116434531,35.0673965052036
76,뉴참마트,소매,슈퍼마켓,사상구,부산광역시 사상구 백양대로934번길 20,128.992938198358,35.1889138037842
77,나이스크림E편한세상,소매,"빵류, 과자류 및 당류 소매업",부산진구,부산광역시 부산진구 신암로 133,129.050066344869,35.1521148914959
78,오굿찬,소매,조리 반찬류 소매업,영도구,부산광역시 영도구 동삼로 56,129.07082138336,35.0784242914638
79,정성반찬,소매,조리 반찬류 소매업,동래구,부산광역시 동래구 사직북로28번길 112,129.064629615982,35.2017444711986
80,알파상회,소매,"채소, 과실 및 뿌리작물 소매업",부산진구,부산광역시 부산진구 새싹로14번길 77,129.060359793257,35.1621749211367
81,태양무역,소매,기타 음ㆍ식료품 위주 종합 소매업,중구,부산광역시 중구 대영로242번안길 3-10,129.036255354703,35.1102015945028
82,JH한바구니,소매,"채소, 과실 및 뿌리작물 소매업",연제구,부산광역시 연제구 월드컵대로 19,129.085563946517,35.1763919297203
83,제이디컴퍼니,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 남산로37번길 36,129.087827047909,35.2654099667254
84,브로코스,소매,건강 보조식품 소매업,동구,부산광역시 동구 중앙대로 319,129.044817326577,35.1252625999451
85,감천쫀드기,소매,"빵류, 과자류 및 당류 소매업",사하구,부산광역시 사하구 감내2로 136,129.008814077254,35.0980928281643
86,우리홀푸드마트,소매,슈퍼마켓,영도구,부산광역시 영도구 절영로 531,129.073296326697,35.0739945538629
87,롯데와인롯데광복점,소매,음료 소매업,중구,부산광역시 중구 중앙대로 2,129.036730232514,35.0983260672492
88,프로미,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 월드컵대로91번가길 42,129.080507096625,35.1833417693026
89,운철과일,소매,"채소, 과실 및 뿌리작물 소매업",금정구,부산광역시 금정구 회천로13번길 37,129.114794163517,35.2258555851096
90,영일상회,소매,"채소, 과실 및 뿌리작물 소매업",중구,부산광역시 중구 보수대로 94,129.02183275032,35.1042305376697
91,기장해산물,소매,건어물 및 젓갈류 소매업,기장군,부산광역시 기장군 기장읍 연화1길 208-21,129.227804080472,35.2206067834157
92,스마일찰진꽈배기,음식,"빵류, 과자류 및 당류 소매업",서구,부산광역시 서구 대영로45번길 11,129.016091991775,35.1100838282107
93,풍성한마트,소매,기타 음ㆍ식료품 위주 종합 소매업,중구,부산광역시 중구 초량상로 5,129.035003063824,35.1126641044413
94,금정슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 금샘로578번길 60,129.088149504408,35.2730867669465
95,신앙촌상회,소매,기타 식료품 소매업,기장군,부산광역시 기장군 기장읍 죽성로 197,129.238862641347,35.2471834478023
96,씨엠과자몰,소매,기타 음ㆍ식료품 위주 종합 소매업,사하구,부산광역시 사하구 장평로41번길 61,128.970318463961,35.0713827091113
97,퍼다마아이스크림할인점,소매,"빵류, 과자류 및 당류 소매업",영도구,부산광역시 영도구 상리로 35,129.068183632738,35.0846852582349
98,대광농산,소매,기타 식료품 소매업,금정구,부산광역시 금정구 금강로 700,129.089315208375,35.26984936196
99,봉림떡방앗간,음식,떡류 제조업,동래구,부산광역시 동래구 명륜로 267,129.085456311754,35.2170002429774
100,대가원푸드,소매,육류 소매업,금정구,부산광역시 금정구 동현로 146-1,129.098583961746,35.2187837399759
101,푸줏간,소매,육류 소매업,사상구,부산광역시 사상구 사상로250번길 13,128.983211283023,35.1671523238367
102,만덕고등학교사회적협동조합,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 함박봉로140번길 98-12,129.034604811502,35.2016892479288
103,정우상회,소매,"채소, 과실 및 뿌리작물 소매업",사상구,부산광역시 사상구 새벽로137번길 51,128.979834760289,35.1537939003704
104,동방마트정육,소매,육류 소매업,수영구,부산광역시 수영구 수영로606번길 129,129.120749934915,35.1588369952344
105,민락김치,소매,조리 반찬류 소매업,수영구,부산광역시 수영구 광안해변로277번길 45-1,129.123590785084,35.1579002819593
106,김해상회,소매,"채소, 과실 및 뿌리작물 소매업",남구,부산광역시 남구 못골로69번길 8-5,129.08985128529,35.1365030052973
107,금복닭집,소매,육류 소매업,부산진구,부산광역시 부산진구 백양대로60번길 58,129.042207444503,35.1649645108014
108,기름집1988,소매,기타 식료품 소매업,동구,부산광역시 동구 자성로133번길 10,129.065104768519,35.1379939983492
109,안나식품,소매,육류 소매업,영도구,부산광역시 영도구 절영로13번길 37,129.042117894212,35.0924838575462
110,슈퍼마켓,소매,기타 음ㆍ식료품 위주 종합 소매업,해운대구,부산광역시 해운대구 삼어로 61,129.116171109909,35.2028667637273
111,좋은부산요양병원편의점,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 학감대로39번길 67,128.996400283296,35.1333863082376
112,에이치에스마켓,소매,기타 식료품 소매업,연제구,부산광역시 연제구 세병로 19,129.083748226333,35.1901272857471
113,사계절아이스크림할인점,소매,"빵류, 과자류 및 당류 소매업",부산진구,부산광역시 부산진구 냉정로 211-2,129.023042842502,35.1510120132993
114,로즈애플,소매,"채소, 과실 및 뿌리작물 소매업",강서구,부산광역시 강서구 명지국제7로 37,128.905512248145,35.0975652312608
115,유어네이키드치즈,소매,기타 식료품 소매업,해운대구,부산광역시 해운대구 우동1로20번길 53,129.159176862087,35.1650554990423
116,할매슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,부산진구,부산광역시 부산진구 개금온정로 11,129.025071037854,35.1543390516816
117,메종스토아,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 수영로 767,129.12270412463,35.1668592560293
118,아시아마트,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 화전산단4로30번길 25-15,128.882405049477,35.1099858459061
119,당풍중한문화상품점,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 금강로 238,129.08474081695,35.2292654271599
120,참꿀마을,소매,음료 소매업,해운대구,부산광역시 해운대구 구남로29번길 21,129.161478952438,35.1625276100333
121,밀양돼지국밥,소매,슈퍼마켓,강서구,부산광역시 강서구 대저중앙로 162,128.96537754,35.2194865777141
122,길축산,소매,육류 소매업,사상구,부산광역시 사상구 사상로 289,128.982672705707,35.1707442575443
123,고기이즈,소매,육류 소매업,강서구,부산광역시 강서구 공항앞길85번길 19,128.952690451063,35.1771403287384
124,슈퍼마켓,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 망미배산로48번길 85-23,129.101193671447,35.1785854293844
125,흰돌상회,소매,"채소, 과실 및 뿌리작물 소매업",부산진구,부산광역시 부산진구 새싹로8번길 69,129.060774835375,35.1611707430954
126,네잎크로버,소매,기타 음ㆍ식료품 위주 종합 소매업,해운대구,부산광역시 해운대구 달맞이길 56,129.170799790696,35.1611308854307
127,벽돌집,소매,육류 소매업,서구,부산광역시 서구 대영로85번길 74,129.018984064654,35.1141789636247
128,에스제이아이스크림할인점,소매,"빵류, 과자류 및 당류 소매업",남구,부산광역시 남구 용호로109번길 3,129.112638020442,35.1224956389945
129,플러스투,소매,기타 음ㆍ식료품 위주 종합 소매업,서구,부산광역시 서구 대신공원로 26,129.018777862363,35.1205265671073
130,부산골프존스넥바,소매,기타 음ㆍ식료품 위주 종합 소매업,중구,부산광역시 중구 중앙대로 63,129.03600448636,35.1033801262886
131,그린마트,소매,슈퍼마켓,연제구,부산광역시 연제구 거제대로178번길 52,129.073068425104,35.1837414172754
132,충무얼음,소매,음료 소매업,서구,부산광역시 서구 구덕로119번길 40-4,129.022725139642,35.0948844649476
133,쎈언니통영생굴,소매,"신선, 냉동 및 기타 수산물 소매업",사하구,부산광역시 사하구 낙동대로575번길 72,128.961236034917,35.1112343052293
134,정석수산,소매,건어물 및 젓갈류 소매업,기장군,부산광역시 기장군 일광읍 칠암2길 9,129.259126977012,35.2985227454592
135,하나로건강기능식품의료기기,소매,건강 보조식품 소매업,부산진구,부산광역시 부산진구 가야대로 478,129.024339524285,35.1528939905208
136,삼순이반찬가게,소매,기타 식료품 소매업,해운대구,부산광역시 해운대구 재송2로28번가길 1,129.130494538149,35.1919984542209
137,지에스25동구사루비아점,소매,기타 음ㆍ식료품 위주 종합 소매업,동구,부산광역시 동구 망양로 793,129.042454797969,35.133584818456
138,씨유덕천함양점,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 의성로115번길 74,129.014977850392,35.2111937489207
139,애터미부산센타,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 충렬대로 211,129.082551971679,35.2025861025759
140,충남슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 수영로741번길 107,129.11935471788,35.1723616553934
141,하나로푸드,소매,슈퍼마켓,부산진구,부산광역시 부산진구 엄광로 37,129.020159280194,35.1486025537423
142,매일반찬천국,소매,조리 반찬류 소매업,수영구,부산광역시 수영구 망미배산로10번길 70,129.106750547806,35.1770925652413
143,더까까주까,소매,"빵류, 과자류 및 당류 소매업",부산진구,부산광역시 부산진구 새싹로14번길 4,129.058391034754,35.1593257108726
144,밀양슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 사상로509번길 16,128.987826166144,35.1902085464822
145,즐거운집반찬,소매,조리 반찬류 소매업,해운대구,부산광역시 해운대구 대천로103번길 61,129.173890750055,35.1806879264108
146,현대종합상사,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 해맞이로105번길 4,129.069553802847,35.1836463115411
147,방아쟁이떡방,음식,떡류 제조업,수영구,부산광역시 수영구 수영로603번길 8,129.113201263301,35.1598440342623
148,일해어묵,소매,기타 식료품 소매업,부산진구,부산광역시 부산진구 가야공원로14번길 85,129.024820359446,35.1518533185981
149,세번째푸드마을,소매,"채소, 과실 및 뿌리작물 소매업",남구,부산광역시 남구 고동골로 29,129.07048394609,35.1390102448798
150,진주상회,소매,육류 소매업,서구,부산광역시 서구 충무대로268번길 5,129.024562174037,35.0944452955438
151,밤나무,소매,"채소, 과실 및 뿌리작물 소매업",동래구,부산광역시 동래구 연안로81번길 91,129.104137762162,35.1957660371641
152,아이스크림활인점화명,소매,"빵류, 과자류 및 당류 소매업",북구,부산광역시 북구 화명신도시로 100,129.012342412154,35.2315781575759
153,한양고기마루,소매,육류 소매업,부산진구,부산광역시 부산진구 당감로 14,129.040074194139,35.162945695958
154,보틀리에,음식,음료 소매업,강서구,부산광역시 강서구 명지오션시티4로 88,128.903313418161,35.0811758521981
155,킹마트,소매,슈퍼마켓,동구,부산광역시 동구 수정중로11번길 5,129.043467394106,35.1295288288812
156,청솔유통,소매,슈퍼마켓,수영구,부산광역시 수영구 연수로392번길 15,129.111849637667,35.168599890426
157,동부산온천스파남탕매점,소매,기타 음ㆍ식료품 위주 종합 소매업,기장군,부산광역시 기장군 장안읍 장안로 48,129.253436254139,35.3437033370817
158,상진유통,소매,기타 음ㆍ식료품 위주 종합 소매업,중구,부산광역시 중구 중앙대로 2,129.036730232514,35.0983260672492
159,블루밍할인마트,소매,슈퍼마켓,사상구,부산광역시 사상구 사상로342번길 39,128.987262796311,35.175403212812
160,롯데떡방앗간,음식,떡류 제조업,사하구,부산광역시 사하구 까치고개로 5,129.003230899868,35.1034213930759
161,다마트,소매,슈퍼마켓,금정구,부산광역시 금정구 중앙대로1685번길 30,129.090070301916,35.2351305923601
162,영도상회,소매,"신선, 냉동 및 기타 수산물 소매업",중구,부산광역시 중구 중구로43번길 36,129.026004736253,35.1019147514774
163,수정이네,소매,건어물 및 젓갈류 소매업,기장군,부산광역시 기장군 기장읍 연화1길 208-21,129.227804080472,35.2206067834157
164,아이마트센텀정육,소매,육류 소매업,해운대구,부산광역시 해운대구 해운대로76번길 16,129.119338646789,35.1904074860505
165,뉴킹할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,사하구,부산광역시 사하구 낙동대로535번길 25,128.963154490739,35.1111289372119
166,가람상회,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 연수로415번길 42,129.115758370162,35.1694653357226
167,감내떡방,음식,떡류 제조업,사하구,부산광역시 사하구 옥천로 64-1,129.008766071839,35.0924143685732
168,몽땅365,소매,"채소, 과실 및 뿌리작물 소매업",해운대구,부산광역시 해운대구 해운대해변로 163,129.150748800901,35.158186196302
169,모아마트,소매,슈퍼마켓,북구,부산광역시 북구 함박봉로 25,129.022324877243,35.2102666026157
170,삼천포해물,소매,"신선, 냉동 및 기타 수산물 소매업",남구,부산광역시 남구 용호로 179,129.111292295011,35.1163064046059
171,부부상회,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 수영로603번길 12,129.112994217993,35.1599541029449
172,형제상회,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 남천바다로 16,129.112345963859,35.1494228391559
173,명륜G정육점,소매,육류 소매업,동래구,부산광역시 동래구 시실로24번길 5,129.086426183701,35.2164236732222
174,나희상회,소매,"채소, 과실 및 뿌리작물 소매업",사상구,부산광역시 사상구 사상로293번길 17,128.981919980716,35.171137962438
175,항아리푸드,소매,건어물 및 젓갈류 소매업,수영구,부산광역시 수영구 황령대로 521,129.111017560527,35.1372752885889
176,대합유통,소매,조리 반찬류 소매업,부산진구,부산광역시 부산진구 중앙대로775번길 27,129.06113180082,35.1624566067734
177,소희네집젓갈,소매,건어물 및 젓갈류 소매업,강서구,부산광역시 강서구 가덕해안로 1206,128.828280980955,35.0123015069779
178,시티마트,소매,슈퍼마켓,사상구,부산광역시 사상구 학감대로49번길 62,128.992265364368,35.1353402201369
179,신평상회,소매,"신선, 냉동 및 기타 수산물 소매업",부산진구,부산광역시 부산진구 새싹로14번길 63,129.059913186292,35.161592924804
180,빌디스타,소매,기타 식료품 소매업,서구,부산광역시 서구 대영로 78,129.019726100215,35.1103417623474
181,바오바브,소매,기타 음ㆍ식료품 위주 종합 소매업,남구,부산광역시 남구 수영로219번길 12-1,129.090653207778,35.135747635148
182,아이스미츄,소매,"빵류, 과자류 및 당류 소매업",부산진구,부산광역시 부산진구 백양관문로 3,129.031061597844,35.1593991306398
183,베스트마트,소매,슈퍼마켓,해운대구,부산광역시 해운대구 해운대로 428,129.139861636856,35.1668973294386
184,바다횟집,소매,"신선, 냉동 및 기타 수산물 소매업",서구,부산광역시 서구 대영로85번길 63,129.019064857901,35.1136194148895
185,막내딸집건어물동래래미안,소매,건어물 및 젓갈류 소매업,동래구,부산광역시 동래구 중앙대로1367번길 78-3,129.073718094539,35.2105879215537
186,장르는건어물,소매,건어물 및 젓갈류 소매업,강서구,부산광역시 강서구 명지국제7로 37,128.905512248145,35.0975652312608
187,온그린,소매,음료 소매업,서구,부산광역시 서구 해돋이로 83,129.021214707742,35.0863338419679
188,함가네반찬,소매,조리 반찬류 소매업,해운대구,부산광역시 해운대구 반송순환로 225-1,129.15009778357,35.2296175449881
189,해랑,소매,기타 음ㆍ식료품 위주 종합 소매업,기장군,부산광역시 기장군 장안읍 임랑해안길 17-1,129.262417031502,35.3163892351272
190,빅세일마트,소매,슈퍼마켓,금정구,부산광역시 금정구 금강로 645,129.088492915034,35.2650704698582
191,대연식재료,소매,기타 음ㆍ식료품 위주 종합 소매업,남구,부산광역시 남구 유엔로169번길 92,129.094750026138,35.1344036767413
192,풍년떡방앗간,음식,떡류 제조업,남구,부산광역시 남구 진남로232번길 48,129.077830896442,35.1461111921057
193,대명여고구내매점,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 시실로 135,129.096231622491,35.2121168227771
194,한끼반찬,소매,조리 반찬류 소매업,남구,부산광역시 남구 고동골로78번길 23,129.073166263155,35.144394879356
195,아리각단,소매,슈퍼마켓,기장군,부산광역시 기장군 기장읍 죽성로 343,129.246640801877,35.2392166716387
196,충렬고등학교구내매점,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명장로106번길 26,129.109593084294,35.2028731393293
197,참좋은떡집,음식,떡류 제조업,수영구,부산광역시 수영구 과정로41번길 40,129.105331457566,35.1752576846358
198,철마한우정육점,소매,육류 소매업,기장군,부산광역시 기장군 정관읍 정관로 389,129.165719146485,35.3347022753319
199,경성푸드,소매,기타 식료품 소매업,남구,부산광역시 남구 수영로293번길 30-5,129.097803228699,35.1378824699544
200,코끼리매점,소매,기타 음ㆍ식료품 위주 종합 소매업,해운대구,부산광역시 해운대구 중동2로 16,129.164576369486,35.163444323083
201,영남상회,소매,"채소, 과실 및 뿌리작물 소매업",연제구,부산광역시 연제구 거제천로 79,129.072633343351,35.1815458862811
202,두배로마트,소매,슈퍼마켓,북구,부산광역시 북구 덕천로276번길 32-16,129.033249809286,35.2082899635241
203,떡공방형제,음식,떡류 제조업,사상구,부산광역시 사상구 낙동대로1420번길 62,128.981176743415,35.1860260434094
204,와인스페이스,소매,음료 소매업,강서구,부산광역시 강서구 공항로 261,128.944225303537,35.1324339051603
205,서른,소매,기타 음ㆍ식료품 위주 종합 소매업,부산진구,부산광역시 부산진구 범전로32번길 39-1,129.062919824684,35.1665873302297
206,원유통,소매,기타 음ㆍ식료품 위주 종합 소매업,사하구,부산광역시 사하구 윤공단로 24,128.967951946583,35.0548155890778
207,뚜레쥬르대청로점,음식,"빵류, 과자류 및 당류 소매업",중구,부산광역시 중구 대청로 71,129.027645415247,35.1032980309187
208,아이스크림할인점비치점,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 광안해변로312번길 11,129.127938422273,35.1563996385254
209,핑클럽,소매,건강 보조식품 소매업,남구,부산광역시 남구 수영로219번길 16,129.090589542207,35.1359104587209
210,자연수산,소매,"신선, 냉동 및 기타 수산물 소매업",북구,부산광역시 북구 낙동대로 1778,129.003897954406,35.2095734847681
