,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3146,동양상회,소매,건어물 및 젓갈류 소매업,북구,부산광역시 북구 구포시장길 1,129.003707493535,35.2092685911773
3147,제일떡방앗간,음식,떡류 제조업,북구,부산광역시 북구 구포시장4길 5,129.003570613788,35.2079627100042
3148,지에스25부산도서관점,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 사상로310번길 41,128.985775944076,35.1722784610681
3149,파워-C마트구포,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 시랑로163번길 22-4,129.01355108388,35.1971350046032
3150,돈대박식육점,소매,육류 소매업,사상구,부산광역시 사상구 사상로293번길 20,128.981834876378,35.1713640016753
3151,부성상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 백양대로357번길 59,129.015982776437,35.1534060376148
3152,마이B,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 가야대로 330,129.008595608418,35.1506734230947
3153,희망슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 백양대로1064번길 32,128.999025455222,35.1991306063006
3154,유니베라주례,소매,건강 보조식품 소매업,사상구,부산광역시 사상구 가야대로 272-1,129.002453728489,35.1501114420917
3155,상곡마을슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 제도로 660-3,128.915304109592,35.1718579397848
3156,동양구내매점,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 낙동대로1356번길 54,128.979067478034,35.1804364288117
3157,진양상회,소매,건어물 및 젓갈류 소매업,사상구,부산광역시 사상구 새벽로 141,128.982451305412,35.1541603140766
3158,세종슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 금곡대로303번길 22,129.012668889277,35.2357488425259
3159,베스티안편의점,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 화명대로 1,129.008646058979,35.2356021556611
3160,그린상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 광장로21번길 14,128.979439097482,35.1638206639174
3161,현대상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 사상로277번가길 19-2,128.980172098353,35.1709357826566
3162,호산참기름,소매,기타 식료품 소매업,북구,부산광역시 북구 덕천로 182,129.023632159709,35.210291612801
3163,해피D.C마트,소매,기타 음ㆍ식료품 위주 종합 소매업,해운대구,부산광역시 해운대구 우동1로 70,129.157456716622,35.1676048269775
3164,은진상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 가야대로388번길 63,129.015155142073,35.1486265541695
